id,survived
3,1.0
4,0.0
7,0.0
9,1.0
11,1.0
13,0.0
16,0.0
19,1.0
23,1.0
24,0.0
25,1.0
26,0.0
28,1.0
29,0.0
32,1.0
33,0.0
36,1.0
41,0.0
42,0.0
43,1.0
44,1.0
47,1.0
53,1.0
56,1.0
57,0.0
58,1.0
59,0.0
61,1.0
63,0.0
67,0.0
69,0.0
70,0.0
72,0.0
73,0.0
80,0.0
82,1.0
83,0.0
84,1.0
86,0.0
87,0.0
88,1.0
91,0.0
93,0.0
94,0.0
95,0.0
98,1.0
99,0.0
106,1.0
110,0.0
111,0.0
112,0.0
114,0.0
115,0.0
117,0.0
119,0.0
120,0.0
121,0.0
123,1.0
125,1.0
126,0.0
128,1.0
129,0.0
130,0.0
131,0.0
134,0.0
135,0.0
136,1.0
137,0.0
138,0.0
139,0.0
143,0.0
146,1.0
147,0.0
148,0.0
149,0.0
151,1.0
152,0.0
153,0.0
160,0.0
163,0.0
164,0.0
166,1.0
168,0.0
169,0.0
174,0.0
176,0.0
177,0.0
180,0.0
182,0.0
183,1.0
184,1.0
186,1.0
189,0.0
191,0.0
192,1.0
195,1.0
197,0.0
199,0.0
201,0.0
203,0.0
207,1.0
209,1.0
212,0.0
213,0.0
216,1.0
217,0.0
219,0.0
221,0.0
224,1.0
225,0.0
226,1.0
227,0.0
228,0.0
232,0.0
234,0.0
237,1.0
244,0.0
246,0.0
248,1.0
254,0.0
256,1.0
257,1.0
259,1.0
260,0.0
265,0.0
269,1.0
273,0.0
274,1.0
275,1.0
276,0.0
277,0.0
280,0.0
281,0.0
282,0.0
284,0.0
286,1.0
287,0.0
288,1.0
289,1.0
290,1.0
291,1.0
292,0.0
295,0.0
296,0.0
297,0.0
300,1.0
305,1.0
307,1.0
314,0.0
321,0.0
322,1.0
323,1.0
324,0.0
325,1.0
326,0.0
328,1.0
329,1.0
330,1.0
332,0.0
335,0.0
336,0.0
339,0.0
340,1.0
341,1.0
343,0.0
347,1.0
348,1.0
349,0.0
353,0.0
355,0.0
357,0.0
359,1.0
360,0.0
365,0.0
368,1.0
369,1.0
370,1.0
371,0.0
373,0.0
376,1.0
377,0.0
381,1.0
383,1.0
385,0.0
387,1.0
388,0.0
393,1.0
394,1.0
396,0.0
398,0.0
400,1.0
404,0.0
405,0.0
407,1.0
410,0.0
411,0.0
414,1.0
415,0.0
417,1.0
419,0.0
421,0.0
423,0.0
426,1.0
427,1.0
429,1.0
430,1.0
431,1.0
433,0.0
435,1.0
437,1.0
438,0.0
442,0.0
444,1.0
445,1.0
446,1.0
448,1.0
449,1.0
450,0.0
454,0.0
455,1.0
459,0.0
461,0.0
463,0.0
464,0.0
466,0.0
468,0.0
469,1.0
470,0.0
472,1.0
473,1.0
478,0.0
480,0.0
486,1.0
488,0.0
490,0.0
497,0.0
498,0.0
499,0.0
502,0.0
504,1.0
507,1.0
508,0.0
509,1.0
510,1.0
512,1.0
514,0.0
515,0.0
517,0.0
525,0.0
528,0.0
534,0.0
536,0.0
537,1.0
539,1.0
540,1.0
541,0.0
543,1.0
544,0.0
546,1.0
547,1.0
548,0.0
550,1.0
551,0.0
552,0.0
554,1.0
555,0.0
556,1.0
559,1.0
560,0.0
562,0.0
565,0.0
568,0.0
569,1.0
571,1.0
574,0.0
575,0.0
576,1.0
577,1.0
579,1.0
581,1.0
582,0.0
584,0.0
586,0.0
589,0.0
590,0.0
591,1.0
593,0.0
594,0.0
595,0.0
598,0.0
599,1.0
600,1.0
601,0.0
602,0.0
604,1.0
605,0.0
606,0.0
607,1.0
608,1.0
610,0.0
611,0.0
613,0.0
616,0.0
617,0.0
621,1.0
622,1.0
623,0.0
624,0.0
628,0.0
629,0.0
630,1.0
633,0.0
636,0.0
637,0.0
639,0.0
640,0.0
641,1.0
645,1.0
649,1.0
651,1.0
659,0.0
660,1.0
661,0.0
662,0.0
663,0.0
664,1.0
665,0.0
667,0.0
668,0.0
670,1.0
673,1.0
675,0.0
677,1.0
679,1.0
682,0.0
684,0.0
685,0.0
687,0.0
689,1.0
690,1.0
691,1.0
692,1.0
696,0.0
697,1.0
699,0.0
702,0.0
703,0.0
705,0.0
707,1.0
709,1.0
711,0.0
714,0.0
716,1.0
717,1.0
719,0.0
721,0.0
723,0.0
729,0.0
730,1.0
732,0.0
733,0.0
734,0.0
736,0.0
737,1.0
739,0.0
741,0.0
743,0.0
745,0.0
746,0.0
747,1.0
748,0.0
749,0.0
751,1.0
754,1.0
755,1.0
756,0.0
757,0.0
758,0.0
759,1.0
763,1.0
765,1.0
767,0.0
770,0.0
772,0.0
773,0.0
774,1.0
775,0.0
776,0.0
777,1.0
779,1.0
781,1.0
783,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
797,1.0
798,0.0
801,1.0
802,1.0
804,1.0
805,0.0
809,1.0
812,0.0
814,0.0
821,1.0
824,0.0
826,0.0
828,1.0
829,1.0
830,1.0
831,1.0
834,0.0
835,1.0
836,0.0
840,0.0
842,1.0
844,0.0
845,0.0
846,0.0
847,0.0
849,1.0
850,0.0
853,1.0
854,0.0
855,1.0
856,1.0
858,1.0
860,0.0
861,0.0
863,0.0
865,1.0
867,0.0
868,0.0
869,1.0
871,1.0
872,0.0
873,0.0
874,1.0
879,1.0
884,0.0
888,0.0
0,
1,
2,
5,
6,
8,
10,
12,
14,
15,
17,
18,
20,
21,
22,
27,
30,
31,
34,
35,
37,
38,
39,
40,
45,
46,
48,
49,
50,
51,
52,
54,
55,
60,
62,
64,
65,
66,
68,
71,
74,
75,
76,
77,
78,
79,
81,
85,
89,
90,
92,
96,
97,
100,
101,
102,
103,
104,
105,
107,
108,
109,
113,
116,
118,
122,
124,
127,
132,
133,
140,
141,
142,
144,
145,
150,
154,
155,
156,
157,
158,
159,
161,
162,
165,
167,
170,
171,
172,
173,
175,
178,
179,
181,
185,
187,
188,
190,
193,
194,
196,
198,
200,
202,
204,
205,
206,
208,
210,
211,
214,
215,
218,
220,
222,
223,
229,
230,
231,
233,
235,
236,
238,
239,
240,
241,
242,
243,
245,
247,
249,
250,
251,
252,
253,
255,
258,
261,
262,
263,
264,
266,
267,
268,
270,
271,
272,
278,
279,
283,
285,
293,
294,
298,
299,
301,
302,
303,
304,
306,
308,
309,
310,
311,
312,
313,
315,
316,
317,
318,
319,
320,
327,
331,
333,
334,
337,
338,
342,
344,
345,
346,
350,
351,
352,
354,
356,
358,
361,
362,
363,
364,
366,
367,
372,
374,
375,
378,
379,
380,
382,
384,
386,
389,
390,
391,
392,
395,
397,
399,
401,
402,
403,
406,
408,
409,
412,
413,
416,
418,
420,
422,
424,
425,
428,
432,
434,
436,
439,
440,
441,
443,
447,
451,
452,
453,
456,
457,
458,
460,
462,
465,
467,
471,
474,
475,
476,
477,
479,
481,
482,
483,
484,
485,
487,
489,
491,
492,
493,
494,
495,
496,
500,
501,
503,
505,
506,
511,
513,
516,
518,
519,
520,
521,
522,
523,
524,
526,
527,
529,
530,
531,
532,
533,
535,
538,
542,
545,
549,
553,
557,
558,
561,
563,
564,
566,
567,
570,
572,
573,
578,
580,
583,
585,
587,
588,
592,
596,
597,
603,
609,
612,
614,
615,
618,
619,
620,
625,
626,
627,
631,
632,
634,
635,
638,
642,
643,
644,
646,
647,
648,
650,
652,
653,
654,
655,
656,
657,
658,
666,
669,
671,
672,
674,
676,
678,
680,
681,
683,
686,
688,
693,
694,
695,
698,
700,
701,
704,
706,
708,
710,
712,
713,
715,
718,
720,
722,
724,
725,
726,
727,
728,
731,
735,
738,
740,
742,
744,
750,
752,
753,
760,
761,
762,
764,
766,
768,
769,
771,
778,
780,
782,
784,
785,
786,
787,
788,
796,
799,
800,
803,
806,
807,
808,
810,
811,
813,
815,
816,
817,
818,
819,
820,
822,
823,
825,
827,
832,
833,
837,
838,
839,
841,
843,
848,
851,
852,
857,
859,
862,
864,
866,
870,
875,
876,
877,
878,
880,
881,
882,
883,
885,
886,
887,
889,
890,
